No	GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1646	28998	1.32e-09	2.01e-10	0.0776	6.360.956	0.4934073	1491.19	MRPL13	mitochondrial ribosomal protein L13
1647	6218	1.33e-09	2.03e-10	0.1326	6.358.808	0.8428792	10033.18	RPS17	ribosomal protein S17
1648	54443	1.34e-09	2.04e-10	0.1997	6.358.311	12.695.445	180.69	ANLN	anillin, actin binding protein
1649	55720	1.34e-09	2.04e-10	0.099	6.358.124	0.6297104	125.81	TSR1	TSR1 ribosome maturation factor
1650	94120	1.34e-09	2.05e-10	0.1063	6.357.242	0.6760132	241.43	SYTL3	synaptotagmin like 3
1651	105377348	1.35e-09	2.07e-10	0.2895	-6.356.185	-18.399.388	12.33	UBE2D3-AS1	UBE2D3 antisense RNA 1
1652	91056	1.36e-09	2.09e-10	0.2782	-635.489	-17.679.279	19.09	AP5B1	adaptor related protein complex 5 subunit beta 1
1653	84955	1.37e-09	2.09e-10	0.1324	6.354.368	0.841337	346.71	NUDCD1	NudC domain containing 1
1654	9020	1.38e-09	2.12e-10	0.2341	6.352.733	14.873.916	42.66	MAP3K14	mitogen-activated protein kinase kinase kinase 14
1655	24137	1.38e-09	2.12e-10	0.1931	6.352.429	12.265.191	53.8	KIF4A	kinesin family member 4A
1656	113510	1.39e-09	2.13e-10	0.1566	-6.351.945	-0.9949519	54.11	HELQ	helicase, POLQ like
1657	57514	1.41e-09	2.16e-10	0.3192	-634.952	-2.026.831	17.6	ARHGAP31	Rho GTPase activating protein 31
1658	26608	1.43e-09	2.19e-10	0.1928	-6.347.562	-12.241.095	53.05	TBL2	transducin beta like 2
1659	401466	1.47e-09	2.26e-10	0.0855	6.342.591	0.5421921	1172.94	RBIS	ribosomal biogenesis factor
1660	833	1.48e-09	2.28e-10	0.0914	6.341.185	0.5796177	519.36	CARS1	cysteinyl-tRNA synthetase 1
1661	80853	1.50e-09	2.31e-10	0.2959	-6.339.401	-18.760.187	15.77	KDM7A	lysine demethylase 7A
1662	2618	1.53e-09	2.35e-10	0.1009	6.336.773	0.6392262	663.26	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
1663	10121	1.54e-09	2.38e-10	0.0953	-6.334.819	-0.6034976	481.21	ACTR1A	actin related protein 1A
1664	3364	1.54e-09	2.38e-10	0.099	-6.334.659	-0.6268735	190.22	HUS1	HUS1 checkpoint clamp component
1665	7070	1.56e-09	2.41e-10	0.2574	6.332.639	16.301.662	363.86	THY1	Thy-1 cell surface antigen
1666	101929357	1.57e-09	2.43e-10	0.1495	6.331.615	0.9464192	15.73	HP09053	uncharacterized LOC101929357
1667	57599	1.60e-09	2.47e-10	0.0943	6.329.092	0.596914	173.2	WDR48	WD repeat domain 48
1668	55744	1.61e-09	2.48e-10	0.0927	6.328.087	0.5866257	433.36	COA1	cytochrome c oxidase assembly factor 1
1669	8263	1.61e-09	2.49e-10	0.1962	-6.327.776	-12.413.516	19.8	F8A1	coagulation factor VIII associated 1
1670	55716	1.62e-09	2.50e-10	0.1863	-6.327.065	-1.178.771	50.46	LMBR1L	limb development membrane protein 1 like
1671	8436	1.63e-09	2.52e-10	0.2305	6.325.671	14.582.997	106.05	CAVIN2	caveolae associated protein 2
1672	119	1.63e-09	2.53e-10	0.2691	632.544	1.702.012	22.18	ADD2	adducin 2
1673	10726	1.65e-09	2.56e-10	0.1079	6.323.414	0.6823681	208.74	NUDC	nuclear distribution C, dynein complex regulator
1674	54103	1.68e-09	2.61e-10	0.417	-6.320.486	-26.357.872	13.02	GSAP	gamma-secretase activating protein
1675	4259	1.69e-09	2.63e-10	0.1765	-6.319.412	-11.152.735	2450.19	MGST3	microsomal glutathione S-transferase 3
1676	100506084	1.70e-09	2.64e-10	0.1573	-6.318.419	-0.9941551	17.71	ARL17B	ADP ribosylation factor like GTPase 17B
1677	493856	1.73e-09	2.69e-10	0.108	-6.315.517	-0.6823143	287.41	CISD2	CDGSH iron sulfur domain 2
1678	112942	1.78e-09	2.77e-10	0.1047	6.311.146	0.6610169	294.34	CFAP36	cilia and flagella associated protein 36
1679	60489	1.84e-09	2.85e-10	0.263	-6.306.489	-16.588.379	304.29	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
1680	64975	1.84e-09	2.87e-10	0.1215	6.305.736	0.7658937	507.94	MRPL41	mitochondrial ribosomal protein L41
1681	6482	1.85e-09	2.88e-10	0.215	-6.305.304	-13.559.309	174.11	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
1682	5692	1.88e-09	2.92e-10	0.1069	6.302.733	0.6740495	1116.81	PSMB4	proteasome 20S subunit beta 4
1683	51703	1.89e-09	2.94e-10	0.2996	-6.302.055	-18.880.805	66.04	ACSL5	acyl-CoA synthetase long chain family member 5
1684	27350	1.92e-09	3.00e-10	0.1202	-6.299.005	-0.7572199	573.46	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C
1685	928	1.94e-09	3.02e-10	0.2604	-6.297.598	-16.399.577	1807.34	CD9	CD9 molecule
1686	9156	1.94e-09	3.03e-10	0.2045	6.297.394	12.881.039	51.22	EXO1	exonuclease 1
1687	4493	1.94e-09	3.03e-10	0.1789	6.297.413	11.264.614	663.41	MT1E	metallothionein 1E
1688	23398	1.96e-09	3.06e-10	0.1156	6.295.745	0.7278421	266.33	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1
1689	5080	1.97e-09	3.07e-10	0.1655	6.295.009	10.420.702	27.62	PAX6	paired box 6
1690	80150	1.97e-09	3.08e-10	0.296	-6.294.771	-18.634.406	33.98	ASRGL1	asparaginase and isoaspartyl peptidase 1
1691	4605	1.97e-09	3.09e-10	0.2052	6.294.179	12.917.464	21.27	MYBL2	MYB proto-oncogene like 2
1692	11051	1.98e-09	3.10e-10	0.0677	6.293.627	0.4262011	537.25	NUDT21	nudix hydrolase 21
1693	10085	2.04e-09	3.20e-10	0.2479	6.288.991	15.591.639	212.86	EDIL3	EGF like repeats and discoidin domains 3
1694	83879	2.07e-09	3.25e-10	0.2014	6.286.478	12.659.333	46.93	CDCA7	cell division cycle associated 7
1695	6143	2.08e-09	3.26e-10	0.1141	628.609	0.7174835	25346.83	RPL19	ribosomal protein L19
1696	79847	2.08e-09	3.26e-10	0.1296	-6.285.771	-0.8148587	70.84	MFSD13A	major facilitator superfamily domain containing 13A
1697	8894	2.09e-09	3.29e-10	0.0766	6.284.466	0.4811671	966.64	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
1698	5985	2.16e-09	3.40e-10	0.1236	6.279.379	0.7759898	246.34	RFC5	replication factor C subunit 5
1699	151313	2.21e-09	3.47e-10	0.1323	6.276.209	0.8303373	59.64	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B
1700	3326	2.22e-09	3.49e-10	0.1047	6.275.088	0.6568339	10123.17	HSP90AB1	heat shock protein 90 alpha family class B member 1
1701	4192	2.25e-09	3.55e-10	0.1894	6.272.795	11.877.895	1202.16	MDK	midkine
1702	387882	2.31e-09	3.64e-10	0.2038	6.268.682	12.777.074	81.4	C12orf75	chromosome 12 open reading frame 75
1703	3489	2.34e-09	3.69e-10	0.2521	6.266.785	15.797.312	285.6	IGFBP6	insulin like growth factor binding protein 6
1704	3007	2.34e-09	3.69e-10	0.2311	6.266.692	14.483.261	68.41	H1-3	H1.3 linker histone, cluster member
1705	3576	2.38e-09	3.76e-10	0.4851	-626.387	-3.038.769	2104.21	CXCL8	C-X-C motif chemokine ligand 8
1706	79877	2.40e-09	3.78e-10	0.1552	6.262.704	0.9720266	61.01	DCAKD	dephospho-CoA kinase domain containing
1707	83540	2.42e-09	3.82e-10	0.193	6.261.173	12.086.417	53.01	NUF2	NUF2 component of NDC80 kinetochore complex
1708	105376843	2.43e-09	3.84e-10	0.1691	6.260.231	10.583.386	16.81	SNHG25	small nucleolar RNA host gene 25
1709	2185	2.58e-09	4.09e-10	0.2009	-6.250.724	-12.558.456	41.2	PTK2B	protein tyrosine kinase 2 beta
1710	23741	2.58e-09	4.09e-10	0.0689	6.250.526	0.4307746	304.73	EID1	EP300 interacting inhibitor of differentiation 1
1711	27303	2.59e-09	4.10e-10	0.2332	6.250.354	14.574.446	113.93	RBMS3	RNA binding motif single stranded interacting protein 3
1712	64105	2.59e-09	4.11e-10	0.186	6.249.946	11.624.254	222.66	CENPK	centromere protein K
1713	3329	2.59e-09	4.11e-10	0.1338	6.249.732	0.836419	3286.82	HSPD1	heat shock protein family D (Hsp60) member 1
1714	51649	2.59e-09	4.11e-10	0.0973	6.249.765	0.6081734	1109.57	MRPS23	mitochondrial ribosomal protein S23
1715	79666	2.60e-09	4.12e-10	0.2276	-6.249.402	-14.221.648	31.8	PLEKHF2	pleckstrin homology and FYVE domain containing 2
1716	22820	2.60e-09	4.12e-10	0.1128	6.249.297	0.7052026	507.02	COPG1	COPI coat complex subunit gamma 1
1717	5573	2.60e-09	4.13e-10	0.101	-6.249.188	-0.6314433	116.2	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha
1718	4709	2.67e-09	4.24e-10	0.0992	-6.244.749	-0.6193459	1047.64	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3
1719	7416	2.67e-09	4.25e-10	0.0949	6.244.492	0.5927842	1286.05	VDAC1	voltage dependent anion channel 1
1720	63967	2.70e-09	4.30e-10	0.1582	6.242.585	0.9876084	99.09	CLSPN	claspin
1721	645166	2.73e-09	4.35e-10	0.1825	6.241.045	1.139.051	25.4	LSP1P5	LSP1 pseudogene 5
1722	11252	2.76e-09	4.40e-10	0.203	-6.239.304	-12.666.081	24.55	PACSIN2	protein kinase C and casein kinase substrate in neurons 2
1723	641638	2.76e-09	4.41e-10	0.14	6.238.803	0.8735924	407.8	SNHG6	small nucleolar RNA host gene 6
1724	1675	2.77e-09	4.42e-10	0.3537	-6.238.258	-22.066.229	49.71	CFD	complement factor D
1725	34	2.79e-09	4.46e-10	0.1227	-623.701	-0.7651173	167.73	ACADM	acyl-CoA dehydrogenase medium chain
1726	30846	2.80e-09	4.48e-10	0.1884	6.236.346	11.747.838	102.92	EHD2	EH domain containing 2
1727	3835	2.83e-09	4.52e-10	0.1373	6.235.047	0.8558205	110.45	KIF22	kinesin family member 22
1728	23042	2.84e-09	4.54e-10	0.1507	-6.234.078	-0.9392222	118.97	PDXDC1	pyridoxal dependent decarboxylase domain containing 1
1729	192286	2.85e-09	4.56e-10	0.1057	-6.233.435	-0.6589818	1802.83	HIGD2A	HIG1 hypoxia inducible domain family member 2A
1730	6136	2.88e-09	4.61e-10	0.1375	6.231.906	0.8568657	23311.93	RPL12	ribosomal protein L12
1731	80169	2.88e-09	4.61e-10	0.1718	-6.231.934	-10.706.628	26.31	CTC1	CST telomere replication complex component 1
1732	5954	2.89e-09	4.63e-10	0.1298	6.231.202	0.8090644	147.43	RCN1	reticulocalbin 1
1733	3295	2.98e-09	4.78e-10	0.1931	-6.226.321	-12.021.507	199.48	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
1734	1203	2.98e-09	4.79e-10	0.1415	-6.225.843	-0.8809943	44.79	CLN5	CLN5 intracellular trafficking protein
1735	7439	3.00e-09	4.82e-10	0.1824	-622.479	-11.356.654	11963.53	BEST1	bestrophin 1
1736	90231	3.01e-09	4.84e-10	0.2108	-6.224.306	-13.119.359	21.3	KIAA2013	KIAA2013
1737	10902	3.02e-09	4.85e-10	0.1092	6.223.865	0.679335	214.36	BRD8	bromodomain containing 8
1738	715	3.05e-09	4.91e-10	0.225	6.221.827	13.996.111	389.46	C1R	complement C1r
1739	5347	3.08e-09	4.96e-10	0.1701	6.220.514	10.583.614	58.61	PLK1	polo like kinase 1
1740	55013	3.11e-09	5.01e-10	0.1493	-6.218.908	-0.9283423	71.8	MCUB	mitochondrial calcium uniporter dominant negative subunit beta
1741	9958	3.12e-09	5.02e-10	0.0985	-6.218.422	-0.6123773	533.64	USP15	ubiquitin specific peptidase 15
1742	3336	3.15e-09	5.08e-10	0.1006	6.216.479	0.6253811	2406.92	HSPE1	heat shock protein family E (Hsp10) member 1
1743	57510	3.29e-09	5.30e-10	0.1349	620.992	0.8374899	91.31	XPO5	exportin 5
1744	139596	3.29e-09	5.31e-10	0.143	-6.209.776	-0.8882271	66.37	UPRT	uracil phosphoribosyltransferase homolog
1745	100859930	3.37e-09	5.44e-10	0.274	-6.205.773	-17.005.994	29.91	HEIH	hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA
1746	105379695	3.37e-09	5.44e-10	0.2001	-6.205.747	-12.415.439	35.99	IER3-AS1	IER3 antisense RNA 1
1747	2806	3.38e-09	5.46e-10	0.1072	6.205.142	0.6649672	162.66	GOT2	glutamic-oxaloacetic transaminase 2
1748	1741	3.40e-09	5.50e-10	0.2303	6.204.139	1.428.803	57.01	DLG3	discs large MAGUK scaffold protein 3
1749	2495	3.40e-09	5.51e-10	0.1825	-6.203.881	-11.319.642	12285.13	FTH1	ferritin heavy chain 1
1750	2908	3.43e-09	5.55e-10	0.166	-6.202.672	-10.296.503	208.98	NR3C1	nuclear receptor subfamily 3 group C member 1
1751	51497	3.43e-09	5.57e-10	0.1154	620.228	0.7154834	92.96	NELFCD	negative elongation factor complex member C/D
1752	63899	3.44e-09	5.57e-10	0.1279	-620.211	-0.7932295	82.57	NSUN3	NOP2/Sun RNA methyltransferase 3
1753	7705	3.44e-09	5.58e-10	0.0903	6.201.939	0.560267	334.41	ZNF146	zinc finger protein 146
1754	84146	3.52e-09	5.71e-10	0.1261	-6.198.164	-0.7815144	111.7	ZNF644	zinc finger protein 644
1755	56900	3.53e-09	5.73e-10	0.1731	-6.197.698	-10.729.929	203.04	TMEM167B	transmembrane protein 167B
1756	6526	3.56e-09	5.79e-10	0.2176	-6.196.171	-13.483.905	46.04	SLC5A3	solute carrier family 5 member 3
1757	151963	3.60e-09	5.85e-10	0.1855	-6.194.302	-11.492.214	137.22	MB21D2	Mab-21 domain containing 2
1758	9533	3.62e-09	5.90e-10	0.1339	6.193.176	0.8291251	437.65	POLR1C	RNA polymerase I and III subunit C
1759	5786	3.69e-09	6.01e-10	0.2035	-6.190.184	-12.599.515	20.27	PTPRA	protein tyrosine phosphatase receptor type A
1760	79178	3.77e-09	6.14e-10	0.1157	-6.186.794	-0.7158072	84.58	THTPA	thiamine triphosphatase
1761	100529241	3.80e-09	6.19e-10	0.0724	6.185.431	0.447989	890.7	HSPE1-MOB4	HSPE1-MOB4 readthrough
1762	6835	3.91e-09	6.37e-10	0.168	618.097	10.386.505	101.52	SURF2	surfeit 2
1763	2189	3.99e-09	6.51e-10	0.2631	6.177.514	16.255.988	11.23	FANCG	FA complementation group G
1764	441951	4.01e-09	6.54e-10	0.175	6.176.777	10.809.881	3487.38	ZFAS1	ZNFX1 antisense RNA 1
1765	10063	4.06e-09	6.63e-10	0.0799	-6.174.701	-0.4936102	893.47	COX17	cytochrome c oxidase copper chaperone COX17
1766	6183	4.10e-09	6.71e-10	0.0991	6.172.788	0.611789	162.81	MRPS12	mitochondrial ribosomal protein S12
1767	55276	4.14e-09	6.78e-10	0.1205	-6.171.249	-0.7434837	83.54	PGM2	phosphoglucomutase 2
1768	23759	4.15e-09	6.78e-10	0.1252	-6.171.051	-0.7725338	19.69	PPIL2	peptidylprolyl isomerase like 2
1769	7532	4.16e-09	6.82e-10	0.1378	-6.170.283	-0.8503223	153.41	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
1770	79586	4.30e-09	7.04e-10	0.1629	6.165.237	10.044.252	31.4	CHPF	chondroitin polymerizing factor
1771	80195	4.33e-09	7.10e-10	0.1179	-616.378	-0.7264325	130.31	TMEM254	transmembrane protein 254
1772	8915	4.33e-09	7.11e-10	0.1995	-6.163.681	-12.296.084	95.73	BCL10	BCL10 immune signaling adaptor
1773	171222	4.38e-09	7.18e-10	0.1499	-6.162	-0.9239097	13.49	UBE2L5	ubiquitin conjugating enzyme E2 L5
1774	254251	4.40e-09	7.22e-10	0.143	-616.115	-0.8809533	41.65	LCORL	ligand dependent nuclear receptor corepressor like
1775	112495	4.45e-09	7.31e-10	0.0823	-6.159.304	-0.5068254	564.22	GTF3C6	general transcription factor IIIC subunit 6
1776	10383	4.55e-09	7.48e-10	0.1242	6.155.578	0.7646434	534.43	TUBB4B	tubulin beta 4B class IVb
1777	118429	4.56e-09	7.49e-10	0.2219	-6.155.312	-13.660.395	55.66	ANTXR2	ANTXR cell adhesion molecule 2
1778	728239	4.60e-09	7.57e-10	0.2095	6.153.705	12.892.719	15.37	MAGED4	MAGE family member D4
1779	51002	4.60e-09	7.58e-10	0.0816	615.351	0.5023098	1011.08	TPRKB	TP53RK binding protein
1780	7849	4.61e-09	7.60e-10	0.1984	-615.314	-12.208.893	40.12	PAX8	paired box 8
1781	114049	4.62e-09	7.61e-10	0.0773	6.152.885	0.4757752	340.09	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor
1782	1209	4.65e-09	7.68e-10	0.1341	-6.151.464	-0.8251127	54.48	CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking
1783	11142	4.71e-09	7.77e-10	0.2107	6.149.624	12.958.727	57.38	PKIG	cAMP-dependent protein kinase inhibitor gamma
1784	64065	4.79e-09	7.91e-10	0.2193	6.146.816	13.477.053	202.35	PERP	p53 apoptosis effector related to PMP22
1785	9180	4.79e-09	7.92e-10	0.1871	6.146.498	1.150.014	67.08	OSMR	oncostatin M receptor
1786	7289	4.81e-09	7.95e-10	0.1424	6.145.909	0.8753922	67.16	TULP3	TUB like protein 3
1787	105378980	4.82e-09	7.97e-10	0.252	-6.145.463	-1.548.832	13.12	LOC105378980	uncharacterized LOC105378980
1788	54518	4.82e-09	7.98e-10	0.4839	-6.145.334	-29.737.179	61.04	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein
1789	666	4.86e-09	8.05e-10	0.2879	614.395	17.688.452	13.24	BOK	BCL2 family apoptosis regulator BOK
1790	7277	4.91e-09	8.14e-10	0.1042	6.142.236	0.6400699	158.22	TUBA4A	tubulin alpha 4a
1791	27089	4.95e-09	8.20e-10	0.0992	6.141.046	0.6088857	3130	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
1792	10154	4.96e-09	8.23e-10	0.3657	-6.140.448	-22.453.613	25	PLXNC1	plexin C1
1793	51257	5.09e-09	8.44e-10	0.3394	-6.136.443	-20.825.225	29.4	MARCHF2	membrane associated ring-CH-type finger 2
1794	22884	5.21e-09	8.66e-10	0.2573	-6.132.268	-15.777.916	14.56	WDR37	WD repeat domain 37
1795	57122	5.21e-09	8.66e-10	0.1163	6.132.335	0.7131823	339.96	NUP107	nucleoporin 107
1796	4833	5.39e-09	8.96e-10	0.1632	6.126.904	0.9997487	180.26	NME4	NME/NM23 nucleoside diphosphate kinase 4
1797	54930	5.43e-09	9.03e-10	0.1979	-6.125.665	-12.124.004	31	HAUS4	HAUS augmin like complex subunit 4
1798	19	5.48e-09	9.13e-10	0.2327	-6.123.963	-14.252.452	251.08	ABCA1	ATP binding cassette subfamily A member 1
1799	64425	5.49e-09	9.13e-10	0.1782	6.123.836	10.910.415	71.28	POLR1E	RNA polymerase I subunit E
1800	83852	5.50e-09	9.16e-10	0.2691	-6.123.337	-16.480.844	14.52	SETDB2	SET domain bifurcated histone lysine methyltransferase 2
1801	134492	5.51e-09	9.18e-10	0.0928	6.123.065	0.5679425	187.38	NUDCD2	NudC domain containing 2
1802	51011	5.57e-09	9.29e-10	0.1145	612.123	0.7011821	94.87	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A
1803	10549	5.60e-09	9.34e-10	0.1256	6.120.219	0.7686176	883.62	PRDX4	peroxiredoxin 4
1804	641	5.67e-09	9.47e-10	0.1878	6.118.061	11.491.157	34.3	BLM	BLM RecQ like helicase
1805	64087	5.69e-09	9.51e-10	0.1836	6.117.411	11.232.602	46.62	MCCC2	methylcrotonyl-CoA carboxylase subunit 2
1806	645	5.70e-09	9.52e-10	0.1408	-6.117.229	-0.8610518	656.5	BLVRB	biliverdin reductase B
1807	6396	5.71e-09	9.55e-10	0.1252	6.116.831	0.7657219	1442.6	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component
1808	1397	5.95e-09	9.96e-10	0.2422	6.110.119	14.801.337	376.69	CRIP2	cysteine rich protein 2
1809	101060226	5.96e-09	9.98e-10	0.1704	-6.109.782	-10.411.881	59.62	NBPF19	NBPF member 19
1810	79033	6.05e-09	1.01e-09	0.1165	6.107.271	0.7112518	140.28	ERI3	ERI1 exoribonuclease family member 3
1811	83463	6.08e-09	1.02e-09	0.0783	6.106.493	0.4780904	354.88	MXD3	MAX dimerization protein 3
1812	55299	6.21e-09	1.04e-09	0.1339	610.304	0.8171791	761.08	BRIX1	biogenesis of ribosomes BRX1
1813	8870	6.22e-09	1.04e-09	0.1991	-6.102.554	-12.152.918	40.57	IER3	immediate early response 3
1814	171586	6.43e-09	1.08e-09	0.2389	-6.097.149	-14.564.439	25.48	ABHD3	abhydrolase domain containing 3, phospholipase
1815	85457	6.44e-09	1.08e-09	0.194	-6.096.945	-11.830.294	36.06	CIPC	CLOCK interacting pacemaker
1816	22943	6.45e-09	1.08e-09	0.1933	6.096.451	11.783.632	167.89	DKK1	dickkopf WNT signaling pathway inhibitor 1
1817	79158	6.55e-09	1.10e-09	0.2544	-6.094.071	-15.502.826	42.23	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
1818	23075	6.63e-09	1.12e-09	0.1679	-6.091.899	-10.228.684	103.6	SWAP70	switching B cell complex subunit SWAP70
1819	25824	6.64e-09	1.12e-09	0.1251	609.158	0.7620155	1620.5	PRDX5	peroxiredoxin 5
1820	523	6.76e-09	1.14e-09	0.1795	-6.088.533	-10.930.784	394.93	ATP6V1A	ATPase H+ transporting V1 subunit A
1821	79719	6.81e-09	1.15e-09	0.0959	6.087.309	0.5836639	522.43	AAGAB	alpha and gamma adaptin binding protein
1822	80331	6.82e-09	1.15e-09	0.1686	-6.086.993	-10.263.235	27.44	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
1823	54741	6.85e-09	1.16e-09	0.1324	-6.086.144	-0.8055402	561.24	LEPROT	leptin receptor overlapping transcript
1824	51172	6.97e-09	1.18e-09	0.2661	-6.083.354	-16.185.595	20.4	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
1825	5983	7.01e-09	1.18e-09	0.163	6.082.349	0.991542	128.43	RFC3	replication factor C subunit 3
1826	22933	7.06e-09	1.19e-09	0.1887	-6.081.111	-11.475.221	118.05	SIRT2	sirtuin 2
1827	23288	7.11e-09	1.20e-09	0.226	-6.079.893	-13.739.029	41.1	IQCE	IQ motif containing E
1828	22928	7.12e-09	1.21e-09	0.1169	-6.079.538	-0.7107093	177.11	SEPHS2	selenophosphate synthetase 2
1829	9045	7.15e-09	1.21e-09	0.1339	6.078.915	0.8139048	6420	RPL14	ribosomal protein L14
1830	4700	7.25e-09	1.23e-09	0.0828	-6.076.639	-0.5030082	1898.71	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6
1831	6160	7.26e-09	1.23e-09	0.1073	6.076.292	0.6522837	15880.36	RPL31	ribosomal protein L31
1832	401565	7.33e-09	1.24e-09	0.1303	60.745	0.7915699	127.76	FAM166A	family with sequence similarity 166 member A
1833	1022	7.37e-09	1.25e-09	0.1068	6.073.717	0.6484167	809.54	CDK7	cyclin dependent kinase 7
1834	51117	7.56e-09	1.28e-09	0.1545	6.069.539	0.938003	138.14	COQ4	coenzyme Q4
1835	55032	7.75e-09	1.32e-09	0.1086	-6.065.391	-0.6589609	148.37	SLC35A5	solute carrier family 35 member A5
1836	65263	7.82e-09	1.33e-09	0.195	606.392	11.825.018	30.6	PYCR3	pyrroline-5-carboxylate reductase 3
1837	100529264	7.82e-09	1.33e-09	0.1228	-6.063.704	-0.7444728	53.83	RAB4B-EGLN2	RAB4B-EGLN2 readthrough (NMD candidate)
1838	118433	7.84e-09	1.33e-09	0.164	-6.063.359	-0.9945379	38.22	RPL23AP7	ribosomal protein L23a pseudogene 7
1839	55017	7.87e-09	1.34e-09	0.1043	-6.062.529	-0.6325221	1035.16	C14orf119	chromosome 14 open reading frame 119
1840	92017	7.92e-09	1.35e-09	0.2515	-6.061.473	-15.247.205	25.96	SNX29	sorting nexin 29
1841	572	7.99e-09	1.36e-09	0.1549	6.059.902	0.9389176	149.49	BAD	BCL2 associated agonist of cell death
1842	402	8.01e-09	1.37e-09	0.1259	6.059.437	0.7630275	630.64	ARL2	ADP ribosylation factor like GTPase 2
1843	80135	8.05e-09	1.37e-09	0.0671	-6.058.583	-0.4066464	312.04	RPF1	ribosome production factor 1 homolog
1844	84864	8.05e-09	1.37e-09	0.105	6.058.568	0.6362694	152.82	RIOX2	ribosomal oxygenase 2
1845	4511	8.08e-09	1.38e-09	0.2622	-6.057.831	-15.882.948	19.84	TRNC	tRNA-Cys
1846	2720	8.20e-09	1.40e-09	0.1326	-6.055.297	-0.8028801	525.2	GLB1	galactosidase beta 1
1847	2498	8.21e-09	1.40e-09	0.1891	-6.055.114	-11.450.361	64.72	FTH1P3	ferritin heavy chain 1 pseudogene 3
1848	5774	8.47e-09	1.45e-09	0.2605	6.049.877	1.576.156	19.33	PTPN3	protein tyrosine phosphatase non-receptor type 3
1849	664709	8.51e-09	1.46e-09	0.1257	6.049.039	0.7604498	290.74	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
1850	23396	8.75e-09	1.50e-09	0.2155	-6.044.514	-13.026.797	21.88	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
1851	91272	8.90e-09	1.52e-09	0.1814	604.177	10.962.639	58.16	BOD1	biorientation of chromosomes in cell division 1
1852	10094	8.90e-09	1.52e-09	0.0724	-6.041.709	-0.4377146	6221.71	ARPC3	actin related protein 2/3 complex subunit 3
1853	79365	8.95e-09	1.53e-09	0.3642	-6.040.676	-21.999.366	50.98	BHLHE41	basic helix-loop-helix family member e41
1854	101927809	8.99e-09	1.54e-09	0.2206	6.039.859	13.324.603	21.3	COSMOC	cell fate and sterol metabolism associated divergent transcript of MOCOS
1855	857	9.02e-09	1.55e-09	0.2802	6.039.183	16.921.208	2969.01	CAV1	caveolin 1
1856	10052	9.12e-09	1.57e-09	0.2283	6.037.295	13.781.398	59.88	GJC1	gap junction protein gamma 1
1857	100996732	9.13e-09	1.57e-09	0.1693	6.037.063	10.217.905	26.41	LINC02802	long intergenic non-protein coding RNA 2802
1858	100861518	9.13e-09	1.57e-09	0.0954	6.036.945	0.5756465	118.91	P4HA2-AS1	P4HA2 antisense RNA 1
1859	900	9.32e-09	1.60e-09	0.1082	6.033.644	0.652935	362.32	CCNG1	cyclin G1
1860	84836	9.45e-09	1.63e-09	0.1261	6.031.284	0.7603167	119.44	ABHD14B	abhydrolase domain containing 14B
1861	55751	9.57e-09	1.65e-09	0.0979	-6.029.123	-0.590091	87.29	TMEM184C	transmembrane protein 184C
1862	144983	9.64e-09	1.66e-09	0.1223	6.027.873	0.7374808	404.22	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2
1863	132001	9.77e-09	1.69e-09	0.1319	6.025.538	0.7949592	179.61	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog
1864	3843	9.80e-09	1.69e-09	0.1537	6.024.966	0.9258691	400.68	IPO5	importin 5
1865	29934	9.82e-09	1.70e-09	0.1008	-6.024.624	-0.6075801	122.19	SNX12	sorting nexin 12
1866	5693	9.86e-09	1.70e-09	0.0598	6.023.879	0.3602984	2054.84	PSMB5	proteasome 20S subunit beta 5
